FBX File,Object Name,Location,Size,Rotation
Volumetric Pumpkin Sketch.fbx,Box001,"[0.5326137542724609, 0.049999989569187164, 0.21231800317764282]","[0.054629843682050705, 0.054629839956760406, 0.2731492221355438]","[-6.800284779728827e-08, -0.8726646304130554, 5.2093206193148944e-08]"
Volumetric Pumpkin Sketch.fbx,Box002,"[1.3583199977874756, 4.018924304460825e-09, -0.09194227308034897]","[0.08851342648267746, 0.10896270722150803, 0.05690482258796692]","[-1.570796251296997, -0.34906575083732605, 1.0589159415985705e-07]"
Volumetric Pumpkin Sketch.fbx,Box003,"[1.4921928644180298, 4.018924304460825e-09, -0.09194227308034897]","[0.08851342648267746, 0.10896270722150803, 0.05690482258796692]","[1.5707963705062866, 0.34906572103500366, -1.1693418144886891e-07]"
Volumetric Pumpkin Sketch.fbx,Circle001,"[0.0, 0.00854919571429491, 0.2829950451850891]","[0.07615701109170914, 0.07615701109170914, 0.0514032356441021]","[-4.371138828673793e-08, 0.0, 0.0]"
Volumetric Pumpkin Sketch.fbx,Circle002,"[0.005146561656147242, -0.869644284248352, 0.007501538842916489]","[0.23730742931365967, 0.23730742931365967, 0.03439999371767044]","[-4.371138828673793e-08, 0.0, 0.0]"
Volumetric Pumpkin Sketch.fbx,Group50713,"[0.0, 8.820094654637956e-10, -0.020178023725748062]","[0.4402102828025818, 0.4319764971733093, 0.2523600161075592]","[-4.371138473402425e-08, 0.0, 0.0]"
Volumetric Pumpkin Sketch.fbx,Group50714,"[-0.7140764594078064, 8.820094654637956e-10, -0.020178023725748062]","[0.4402102828025818, 0.4319764971733093, 0.2523600161075592]","[-4.371138473402425e-08, 0.0, 0.0]"
Volumetric Pumpkin Sketch.fbx,Group50715,"[-1.4281529188156128, 8.820094654637956e-10, -0.020178023725748062]","[0.4402102828025818, 0.4319764971733093, 0.2523600161075592]","[-4.371138473402425e-08, 0.0, 0.0]"
Volumetric Pumpkin Sketch.fbx,Group50716,"[0.7158148288726807, 8.820094654637956e-10, -0.020178023725748062]","[0.4402102828025818, 0.4319764971733093, 0.2523600161075592]","[-4.371138473402425e-08, 0.0, 0.0]"
Volumetric Pumpkin Sketch.fbx,Group50717,"[1.4316296577453613, 8.820094654637956e-10, -0.020178023725748062]","[0.4402102828025818, 0.4319764971733093, 0.2523600161075592]","[-4.371138473402425e-08, 0.0, 0.0]"
Volumetric Pumpkin Sketch.fbx,Group50718,"[0.0, -0.8783054351806641, -0.020178023725748062]","[0.4402102828025818, 0.4319764971733093, 0.2523600161075592]","[-4.371138473402425e-08, 0.0, 0.0]"
Volumetric Pumpkin Sketch.fbx,Group50719,"[0.13537390530109406, -0.6708988547325134, 0.2195412814617157]","[0.0, 0.0, 0.0]","[-0.7112553119659424, 0.9163601398468018, -0.10053974390029907]"
Volumetric Pumpkin Sketch.fbx,Group50720,"[0.17676424980163574, -1.0493565797805786, 0.2195412814617157]","[0.0, 0.0, 0.0]","[-0.7112553119659424, -2.2252323627471924, 0.10053963214159012]"
Volumetric Pumpkin Sketch.fbx,Line001,"[-0.4395960569381714, 0.033294614404439926, 0.14028339087963104]","[0.10982909798622131, 0.06333299726247787, 0.06333299726247787]","[1.570796251296997, -0.0, 0.0]"
Volumetric Pumpkin Sketch.fbx,Line002,"[-0.9677994251251221, 0.033294614404439926, 0.14028339087963104]","[0.10982909798622131, 0.06333299726247787, 0.06333299726247787]","[1.570796251296997, -0.0, 0.0]"
Volumetric Pumpkin Sketch.fbx,Line003,"[0.023914629593491554, -0.8723664879798889, 0.3172743618488312]","[0.11309270560741425, 0.14649972319602966, 0.04500000551342964]","[1.570796251296997, -0.0, 0.0]"
Volumetric Pumpkin Sketch.fbx,Line004,"[0.0, 0.0, 10.39627456665039]","[0.01891412027180195, 0.04185575991868973, 0.01891409419476986]","[1.5707966089248657, -5.9604641222676946e-08, 2.9802317058624794e-08]"
Volumetric Pumpkin Sketch.fbx,Line005,"[-1.9073486328125e-06, 0.0, 10.396278381347656]","[0.01891412027180195, 0.04185575991868973, 0.01891412027180195]","[1.5707966089248657, -3.768221306955097e-15, 2.9802317058624794e-08]"
Volumetric Pumpkin Sketch.fbx,Rectangle002,"[-1.4269365072250366, 0.012956740334630013, 0.36087629199028015]","[0.13925418257713318, 0.13925418257713318, 0.02488715574145317]","[-1.5707964897155762, 0.7853981256484985, -1.1013501932666259e-07]"
Volumetric Pumpkin Sketch.fbx,Sphere001,"[0.0, 7.62939453125e-06, 0.000148773193359375]","[0.10828376561403275, 0.10828360915184021, 0.054242294281721115]","[-3.141592025756836, -5.960464477539063e-08, 2.980232594040899e-08]"
Volumetric Pumpkin Sketch.fbx,Sphere002,"[-1.9073486328125e-06, 7.62939453125e-06, 0.00014495849609375]","[0.10828376561403275, 0.10828377306461334, 0.054242294281721115]","[-3.141592025756836, -0.0, 2.9802322387695312e-08]"
Volumetric Spiral Sketch.fbx,Group50719,"[0.13537390530109406, -0.6708988547325134, 0.2195412814617157]","[0.0, 0.0, 0.0]","[-0.7112553119659424, 0.9163601398468018, -0.10053974390029907]"
Volumetric Spiral Sketch.fbx,Group50720,"[0.17676424980163574, -1.0493565797805786, 0.2195412814617157]","[0.0, 0.0, 0.0]","[-0.7112553119659424, -2.2252323627471924, 0.10053963214159012]"
Volumetric Spiral Sketch.fbx,Heart_GEO,"[0.7632108926773071, 1.2517528347189e-08, 0.2540922164916992]","[0.10983332991600037, 0.05499603971838951, 0.09605533629655838]","[1.5916224072043406e-07, -1.8490055799484253, -1.5304225087220402e-07]"
Volumetric Spiral Sketch.fbx,Helix001,"[-0.003629101673141122, -0.002709593391045928, 0.01669270172715187]","[0.2510484755039215, 0.2479386031627655, 0.309017539024353]","[-4.371138828673793e-08, 0.0, 0.0]"
Volumetric Spiral Sketch.fbx,Helix002,"[-0.42717620730400085, -0.002709593391045928, 0.01669270172715187]","[0.2510484755039215, 0.2479386031627655, 0.309017539024353]","[-4.371138828673793e-08, 0.0, 0.0]"
Volumetric Spiral Sketch.fbx,Helix003,"[-0.8507232666015625, -0.002709593391045928, 0.01669270172715187]","[0.2510484755039215, 0.2479386031627655, 0.309017539024353]","[-4.371138828673793e-08, 0.0, 0.0]"
Volumetric Spiral Sketch.fbx,Helix004,"[0.4280656576156616, -0.002709593391045928, 0.01669270172715187]","[0.2510484755039215, 0.2479386031627655, 0.309017539024353]","[-4.371138828673793e-08, 0.0, 0.0]"
Volumetric Spiral Sketch.fbx,Helix005,"[0.8597604036331177, -0.002709593391045928, 0.01669270172715187]","[0.2510484755039215, 0.2479386031627655, 0.309017539024353]","[-4.371138828673793e-08, 0.0, 0.0]"
Volumetric Spiral Sketch.fbx,Helix006,"[-0.003629101673141122, 0.5340511202812195, 0.01669270172715187]","[0.2510484755039215, 0.2479386031627655, 0.309017539024353]","[-4.371138828673793e-08, 0.0, 0.0]"
Volumetric Spiral Sketch.fbx,Line001,"[-0.13348470628261566, -1.8415533986626542e-08, 0.4047867953777313]","[0.04390907287597656, 0.12393539398908615, 0.010320145636796951]","[1.570796251296997, -0.0, 0.0]"
